layer,r,m,probe,auroc,recall_at_1pct_fpr,overhead_mib,n_params
16,1,16,multimax,0.828125,0.5416666865348816,0.2509765625,65681
16,2,16,topr,0.8836805820465088,0.625,0.251953125,65681
16,4,16,topr,0.8559027910232544,0.7083333730697632,0.251953125,65681
16,8,16,topr,0.8159722089767456,0.75,0.251953125,65681
16,16,16,topr,0.8055555820465088,0.75,0.25244140625,65681
16,32,16,topr,0.8211805820465088,0.6666666865348816,0.2548828125,65681
16,1,32,multimax,0.835069477558136,0.6666666865348816,0.5009765625,131361
16,2,32,topr,0.9045138955116272,0.5833333730697632,0.50048828125,131361
16,4,32,topr,0.8263888955116272,0.75,0.50048828125,131361
16,8,32,topr,0.859375,0.75,0.50048828125,131361
16,16,32,topr,0.8385416865348816,0.75,0.50048828125,131361
16,32,32,topr,0.835069477558136,0.7083333730697632,0.5009765625,131361
16,1,64,multimax,0.8177083134651184,0.75,1.0009765625,262721
16,2,64,topr,0.8993055820465088,0.5833333730697632,1.00048828125,262721
16,4,64,topr,0.8680555820465088,0.75,1.00048828125,262721
16,8,64,topr,0.828125,0.75,1.00048828125,262721
16,16,64,topr,0.828125,0.75,1.00048828125,262721
16,32,64,topr,0.7934027910232544,0.7083333730697632,1.0009765625,262721
16,1,128,multimax,0.90625,0.7083333730697632,2.0009765625,525441
16,2,128,topr,0.8854166865348816,0.5416666865348816,2.00048828125,525441
16,4,128,topr,0.897569477558136,0.6666666865348816,2.00048828125,525441
16,8,128,topr,0.890625,0.75,2.00048828125,525441
16,16,128,topr,0.8802083134651184,0.75,2.00048828125,525441
16,32,128,topr,0.8784722089767456,0.7083333730697632,2.0009765625,525441
16,1,256,multimax,0.8107638955116272,0.7083333730697632,4.0009765625,1050881
16,2,256,topr,0.84375,0.625,4.00048828125,1050881
16,4,256,topr,0.8871527910232544,0.7083333730697632,4.00048828125,1050881
16,8,256,topr,0.8680555820465088,0.75,4.00048828125,1050881
16,16,256,topr,0.8263888955116272,0.75,4.00048828125,1050881
16,32,256,topr,0.8263888955116272,0.7083333730697632,4.0009765625,1050881
31,1,16,multimax,0.5399305820465088,0.0,0.2509765625,65681
31,2,16,topr,0.4079861044883728,0.0,0.251953125,65681
31,4,16,topr,0.5989583134651184,0.0,0.251953125,65681
31,8,16,topr,0.6145833134651184,0.0,0.251953125,65681
31,16,16,topr,0.6111111044883728,0.0,0.25244140625,65681
31,32,16,topr,0.6527777910232544,0.0,0.2548828125,65681
31,1,32,multimax,0.4305555522441864,0.0,0.5009765625,131361
31,2,32,topr,0.5520833134651184,0.0,0.50048828125,131361
31,4,32,topr,0.487847238779068,0.0,0.50048828125,131361
31,8,32,topr,0.5572916865348816,0.0,0.50048828125,131361
31,16,32,topr,0.7126736044883728,0.0416666679084301,0.50048828125,131361
31,32,32,topr,0.8020833134651184,0.3333333432674408,0.5009765625,131361
31,1,64,multimax,0.5894097089767456,0.0416666679084301,1.0009765625,262721
31,2,64,topr,0.6388888955116272,0.0,1.00048828125,262721
31,4,64,topr,0.6180555820465088,0.0,1.00048828125,262721
31,8,64,topr,0.7239583134651184,0.0416666679084301,1.00048828125,262721
31,16,64,topr,0.7239583134651184,0.1666666716337204,1.00048828125,262721
31,32,64,topr,0.7604166865348816,0.0,1.0009765625,262721
31,1,128,multimax,0.4991319477558136,0.0,2.0009765625,525441
31,2,128,topr,0.4930555522441864,0.0,2.00048828125,525441
31,4,128,topr,0.4991319477558136,0.0,2.00048828125,525441
31,8,128,topr,0.6458333134651184,0.0,2.00048828125,525441
31,16,128,topr,0.6284722089767456,0.0,2.00048828125,525441
31,32,128,topr,0.7048611044883728,0.0,2.0009765625,525441
31,1,256,multimax,0.5190972089767456,0.0,4.0009765625,1050881
31,2,256,topr,0.5190972089767456,0.0,4.00048828125,1050881
31,4,256,topr,0.5824652910232544,0.0,4.00048828125,1050881
31,8,256,topr,0.5555555820465088,0.0,4.00048828125,1050881
31,16,256,topr,0.6545138955116272,0.0,4.00048828125,1050881
31,32,256,topr,0.6571180820465088,0.0,4.0009765625,1050881
