N,layer,depth_ratio,probe,auroc,recall_at_1pct_fpr
256,13,0.5,multimax,0.866319477558136,0.4166666865348816
256,13,0.5,topr,0.9427083134651184,0.7083333730697632
256,13,0.5,softmax_attn,0.9704861044883728,0.8333333730697632
256,13,0.5,mean_pool,0.9079861044883728,0.2916666865348816
256,20,0.75,multimax,0.9253472089767456,0.8333333730697632
256,20,0.75,topr,0.9722222089767456,0.8333333730697632
256,20,0.75,softmax_attn,0.9409722089767456,0.875
256,20,0.75,mean_pool,0.9548611044883728,0.625
256,27,1.0,multimax,0.7135416865348816,0.2916666865348816
256,27,1.0,topr,0.796875,0.0
256,27,1.0,softmax_attn,0.928819477558136,0.7083333730697632
256,27,1.0,mean_pool,0.8402777910232544,0.1666666716337204
1024,13,0.5,multimax,0.8532986044883728,0.5833333730697632
1024,13,0.5,topr,0.8446180820465088,0.6666666865348816
1024,13,0.5,softmax_attn,0.8723958134651184,0.7083333730697632
1024,13,0.5,mean_pool,0.7282986044883728,0.1666666716337204
1024,20,0.75,multimax,0.8472222089767456,0.75
1024,20,0.75,topr,0.8689236044883728,0.75
1024,20,0.75,softmax_attn,0.9609375,0.7916666865348816
1024,20,0.75,mean_pool,0.7439236044883728,0.375
1024,27,1.0,multimax,0.8298611044883728,0.6666666865348816
1024,27,1.0,topr,0.8671875,0.7083333730697632
1024,27,1.0,softmax_attn,0.842881977558136,0.7083333730697632
1024,27,1.0,mean_pool,0.702256977558136,0.2916666865348816
4096,13,0.5,multimax,0.7395833134651184,0.375
4096,13,0.5,topr,0.8315972089767456,0.5416666865348816
4096,13,0.5,softmax_attn,0.703125,0.0833333358168602
4096,13,0.5,mean_pool,0.6284722089767456,0.0833333358168602
4096,20,0.75,multimax,0.8055555820465088,0.625
4096,20,0.75,topr,0.8020833134651184,0.75
4096,20,0.75,softmax_attn,0.6736111044883728,0.2083333432674408
4096,20,0.75,mean_pool,0.6076388955116272,0.1666666716337204
4096,27,1.0,multimax,0.7760416865348816,0.5833333730697632
4096,27,1.0,topr,0.8090277910232544,0.5
4096,27,1.0,softmax_attn,0.6076388955116272,0.0416666679084301
4096,27,1.0,mean_pool,0.6215277910232544,0.0
